date,close,high,open,low,vol,settle,amount,percent,close_EMA_5,close_EMA_3,close_EMA_10,close_EMA_20,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,Dea,MACD,close_EMA_26,close_EMA_12
20100716,1.4738999808,1.4838999808,1.4838999808,1.4638999808,1378.9551,,370755.1232,,1.4738999808,1.4738999808,1.4738999808,1.4738999808,,,,,,,,,,,,0.0,0.0,1.4738999808,1.4738999808
20100719,1.4938999808,1.4938999808,1.4638999808,1.4638999808,1146.7383,1.4738999808,308801.0496,1.3569441794,1.4805666474666666,1.4838999808,1.4775363444363636,1.4758047427047618,,,,,,,,,,,,0.000319088319088312,0.002552706552706496,1.4753814622814814,1.476976903876923
20100720,1.4938999808,1.4938999808,1.4838999808,1.4738999808,844.226,1.4938999808,227882.9312,0.0,1.485011091911111,1.4888999807999999,1.4805115510479339,1.4775280987138322,,,,,,,,,,,,0.0008207206110340249,0.004013058335565702,1.4767532043939642,1.479580454172781
20100721,1.4938999808,1.4938999808,1.4838999808,1.4738999808,622.0943,1.4938999808,167891.8016,0.0,1.4879740548740739,1.4913999807999998,1.4829458110028548,1.4790873255791814,,,,,,,,,,,,0.001408600946763249,0.0047030426858337936,1.4780233359795962,1.4817834582692764
20100722,1.5138999808,1.5338999808,1.4838999808,1.4738999808,1065.1225,1.4938999808,289502.8992,1.3387777132,1.496616030182716,1.5026499807999998,1.488573841875063,1.4824028165525927,1.3387777131699137,,,,,,,,,,,0.0023356000594084393,0.007415992901161525,1.4806808652255523,1.4867244617355415
20100723,1.5938999808,1.6238999808,1.5138999808,1.5138999808,1792.7828,1.5138999808,500116.3776,5.2843649525,1.5290440137218109,1.5482749808,1.5077240489523243,1.493021594099965,5.006917515075332,,,,,,,100.0,,,,0.004697587397698407,0.018895898706319744,1.4890674663792152,1.5032130031300734
20100726,1.5838999808,1.6238999808,1.6138999808,1.5538999808,704.6938,1.5938999808,197487.3472,-0.6273919393,1.5473293360812075,1.5660874808,1.5215742183791745,1.5016766785475872,3.1252035028347622,,,,,,,90.9090909090909,,7.463192986833106,,0.007664927364760989,0.023738719736500654,1.496092097077051,1.5156263843100624
20100727,1.5638999808,1.5838999808,1.5738999808,1.5538999808,384.484,1.5838999808,107044.0,-1.2627059942,1.552852884320805,1.5649937308,1.5292698115465975,1.5076027073335314,0.9032840940338447,,,50.0,50.0,50.0,,76.92307692307693,,4.685721996094697,,0.01051957952853071,0.022837217310157774,1.501114903278751,1.5230530914623606
20100728,1.6238999808,1.6338999808,1.5638999808,1.5638999808,796.9171,1.5638999808,224874.0096,3.8365624872,1.57653524981387,1.5944468558,1.546475296865398,1.5186786381398618,3.045878582702502,,,64.70588235294117,54.90196078431373,84.31372549019608,,84.21052631578947,,8.70205513560444,,0.014087244284435432,0.02854131804723778,1.5102100942062509,1.5385679975143052
20100729,1.6138999808,1.6638999808,1.6238999808,1.5938999808,894.5884,1.6238999808,254299.1616,-0.6158014729,1.58899016014258,1.6041734183,1.558734330308053,1.5277473374408275,1.1278902322548368,,,68.1372549019608,59.31372549019609,85.78431372549022,,77.77777777777779,,8.032666279019482,,0.017723136799125083,0.02908714011751721,1.5178908265465285,1.5501575334044122
20100730,1.5738999808,1.6038999808,1.6038999808,1.5538999808,510.6245,1.6138999808,142370.7776,-2.4784683361,1.58396010036172,1.58903669955,1.5614917213065886,1.532142827284558,-1.130724305364601,,,62.96869625043003,60.53204907694074,67.84199059740862,,42.857142857142854,,3.9632737143106285,,0.020532622405618425,0.022475884851946744,1.5220396527875264,1.5538102176191182
20100802,1.5838999808,1.5938999808,1.5638999808,1.5538999808,521.5746,1.5738999808,145441.088,0.6353643892,1.5839400605078133,1.5864683401750002,1.5655659503053905,1.5370720800003146,-0.5025441357176005,,,61.27737644765513,60.780491533845534,62.27114627527433,,50.0,70.37037037037037,-0.6273919392972747,,0.022789600454028665,0.018055824387281934,1.526621899306969,1.5584394119546385
20100803,1.5138999808,1.5938999808,1.5838999808,1.5138999808,566.7041,1.5838999808,156820.2112,-4.4194709798,1.5605933672718757,1.5501841604875,1.5561721376680469,1.5348652134098084,-4.298628284046823,,,47.869128158085886,56.476703741925654,30.65397699040635,,36.84210526315789,53.125,-4.419470979767567,2.7138883588484024,0.02341321172399939,0.0049888901597658075,1.5256795349731194,1.5515871917770017
20100804,1.5138999808,1.5338999808,1.5138999808,1.4838999808,413.8634,1.5138999808,112731.2,0.0,1.5450289051145838,1.53204207064375,1.5484862909647654,1.5328685245898268,-2.9489070175133003,,,37.46830766094615,50.140571714932484,12.123779552973488,74.99999999999997,7.6923076923076925,53.125,-3.19713540596266,1.3387777131699137,0.022927006162051712,-0.0038896444955814485,1.5248069754047404,1.5457891593190014
20100805,1.5038999808,1.5138999808,1.5138999808,1.4938999808,335.5002,1.5138999808,91115.8976,-0.6605456191,1.531319263676389,1.517971025721875,1.5403796891166264,1.5301096156574625,-2.2108069721357024,,,28.68257547766781,42.98790630251093,0.0719138279815752,79.99999999999999,7.6923076923076925,51.515151515151516,-7.389617674660181,0.6693888565849568,0.02155887716531251,-0.010945031973913597,1.5232583091377225,1.5393446703160782
20100806,1.5038999808,1.5138999808,1.5038999808,1.4838999808,328.0149,1.5038999808,89131.52,0.0,1.5221795027175926,1.5109355032609375,1.5337470148772399,1.5276134599567517,-1.3124220914748381,,,22.825420688815584,36.26707776461248,-4.05789346277821,84.21052631578945,11.11111111111111,48.38709677419355,-6.815787924197991,0.6693888565849568,0.019660558186104942,-0.015186551833660543,1.5218243588904838,1.5338916411597585
20100809,1.5038999808,1.5138999808,1.5038999808,1.4838999808,459.8875,1.5038999808,124601.5616,0.0,1.5160863287450617,1.5074177420304689,1.5283202814086507,1.5253550333703945,-0.2652695835885512,,,18.920650829580765,30.48493545293524,-4.207918417128184,84.21052631578945,0.0,30.434782608695656,-4.4475507245650805,-0.6605456190517714,0.017484629026058348,-0.017407433280372746,1.5204966271800775,1.5292775395659495
20100810,1.4738999808,1.5038999808,1.4938999808,1.4638999808,506.6835,1.5038999808,136466.9824,-1.9948135104,1.5020242127633745,1.4906588614152345,1.5184256812979868,1.520454552173214,-1.733448918782733,,,14.28043388638718,25.083434930752553,-7.325568202343568,95.0,0.0,28.000000000000004,-6.9448829682061755,-7.528703271567296,0.014730281500027195,-0.02203478020824922,1.517045023744516,1.5207579151404187
20100811,1.4738999808,1.4838999808,1.4738999808,1.4638999808,468.1193,1.4738999808,125890.9824,0.0,1.492649468775583,1.4822794211076173,1.5103300993892619,1.5160207834710033,-1.2065151975099493,,,11.901241638543834,20.689370500016313,-5.675016084401129,95.0,0.0,30.434782608695656,-2.642182476207086,-6.9448829682061755,0.011724206705512727,-0.024048598356115742,1.5138490946375147,1.5135490021649696
20100812,1.4638999808,1.4738999808,1.4638999808,1.4638999808,511.5667,1.4738999808,137202.5984,-0.6784720897,1.4830663061170553,1.4730897009538086,1.5018882596457594,1.5110568975023362,-1.3477997344010761,,,7.934161092362555,16.437634030798392,-9.072784784509118,100.0,0.0,5.555555555555555,-3.302728095258857,-6.39427081192532,0.008531671545722793,-0.02554028127831948,1.5101491602791806,1.5059106911857436
20100813,1.4738999808,1.4738999808,1.4638999808,1.4638999808,661.5541,1.4638999808,177447.7696,0.6831067786,1.4800108643447034,1.4734948408769042,1.4967994816738033,1.5075181435306853,-0.2706543103028222,,,7.853543292344268,13.576270451313684,-3.591911025594566,95.0,20.0,11.11111111111111,-1.9948135104065579,-9.237022093325226,0.00552972336411799,-0.02401558545283842,1.5074640358733151,1.500985966511014
20100816,1.4938999808,1.5038999808,1.4638999808,1.4638999808,386.5491,1.4738999808,104302.08,1.3569441794,1.4846405698298024,1.483697410838452,1.4962722996967484,1.5062211756515724,1.2195948393632514,,,19.521409813943798,15.55798357219039,27.448262297450615,84.99999999999999,42.857142857142854,25.0,-0.6649378368021859,-7.435405008215989,0.003111083453313627,-0.01934911928643491,1.5064592910530694,1.4998958148631656
20100817,1.4738999808,1.4838999808,1.4838999808,1.4638999808,332.728,1.4938999808,89478.592,-1.3387777132,1.481060373486535,1.478798695819226,1.492204605351885,1.5031429666180895,-0.13551053770702792,,,19.680939875962533,16.932302340114436,25.178214947658724,95.0,50.0,17.647058823529413,-1.9948135104065579,-6.353643892235829,0.0008586598592392775,-0.018019388752594796,1.5040474902935828,1.4958964557765246
20100818,1.4738999808,1.4938999808,1.4738999808,1.4638999808,395.987,1.4738999808,106563.6672,0.0,1.4786735759243568,1.4763493383096131,1.488876491796997,1.5003579203497002,-0.13551053770702792,,,19.78729325064169,17.88396597695685,23.593947798011364,92.85714285714286,50.0,30.0,0.0,-6.9448829682061755,-0.0011734638604071511,-0.01625698975717143,1.501814341442206,1.4925123827032132
