time operation trade_price
20150105 long 29.18
20150106 long 29.95
20150107 long 29.88
20150108 long 28.92
20150109 noo 28.67
20150112 long_sell 27.98
20150217 noo 26.9
20150225 noo 26.6
20150226 noo 27.15
20150227 noo 26.89
20150302 long 27.12
20150303 noo 26.27
20150304 noo 26.53
20150305 noo 26.07
20150306 long_sell 25.99
20150312 noo 26.97
20150313 long 26.84
20150316 long 27.39
20150317 long 28.65
20150318 long 28.76
20150319 long 28.35
20150320 long 28.51
20150323 long 29.03
20150324 noo 28.42
20150325 long 30.05
20150326 long 30.4
20150327 long 30.44
20150330 long 32.2
20150331 long 31.28
20150401 long 31.85
20150402 long 31.8
20150403 long 32.24
20150407 long 33.09
20150408 long 32.88
20150409 long 32.36
20150410 long 32.91
20150413 long 35.0
20150414 long 34.77
20150415 long 33.22
20150416 long 33.51
20150417 noo 34.57
20150420 noo 33.65
20150421 long 34.53
20150422 long 35.16
20150423 long_sell 34.58
20150522 noo 32.69
20150525 long 33.29
20150526 long 33.54
20150527 long 32.88
20150528 noo 31.08
20150529 noo 30.8
20150601 noo 32.21
20150602 long 35.43
20150603 long 35.37
20150604 long 34.73
20150605 long 35.41
20150608 long 35.58
20150609 long 36.34
20150610 long 35.64
20150611 noo 35.38
20150612 long 35.83
20150615 long 36.76
20150616 noo 34.88
20150617 noo 35.12
20150618 long_sell 33.19
20150720 noo 24.56
20150721 noo 24.92
20150722 noo 24.89
20150723 noo 25.41
20150724 noo 25.22
20150727 noo 22.7
20150728 noo 22.17
20150729 noo 23.2
20150730 noo 22.53
20150811 noo 24.4
20150812 noo 25.65
20150813 noo 25.61
20150814 noo 25.54
20150817 noo 25.98
20150818 noo 23.77
20150819 noo 24.47
20150910 noo 9.63
20150911 noo 9.55
20150914 noo 8.81
20150915 noo 8.38
20150916 noo 9.08
20150917 noo 8.78
20150918 noo 8.83
20150921 noo 9.03
20150922 noo 9.16
20150923 noo 8.88
20150924 noo 8.94
20150925 noo 8.55
20150928 noo 8.68
20150929 noo 8.42
20151009 noo 8.93
20151012 noo 9.38
20151013 noo 9.32
20151014 noo 9.16
20151015 noo 9.37
20151016 noo 9.51
20151019 noo 9.45
20151020 noo 9.48
20151021 noo 8.81
20151022 noo 9.01
20151023 noo 9.12
20151026 noo 9.29
20151027 noo 9.21
20151028 noo 9.03
20151029 noo 9.06
20151030 noo 8.99
20151102 noo 8.87
20151103 noo 8.9
20151104 noo 9.35
20151105 noo 9.53
20151106 noo 9.63
20151109 noo 10.18
20151110 noo 10.16
20151111 noo 10.09
20151112 noo 9.92
20151113 noo 9.92
20151116 noo 10.17
20151117 long 10.33
20151118 long 10.05
20151119 long 10.16
20151120 long 10.45
20151123 noo 10.33
20151124 long 10.21
20151125 long 10.31
20151126 noo 10.15
20151127 long_sell 9.48
20151130 long_sell 9.38
20151221 noo 10.15
20151222 long 10.09
20151223 noo 9.88
20151224 noo 9.95
20151225 noo 9.95
20151228 long_sell 9.71
20160216 noo 7.37
20160217 noo 7.45
20160218 noo 7.43
20160219 noo 7.47
20160222 noo 7.65
20160223 noo 8.0
20160224 noo 7.9
20160225 noo 7.19
20160226 noo 7.32
20160229 noo 7.12
20160301 noo 7.3
20160303 noo 7.69
20160304 noo 8.07
20160307 noo 8.07
20160308 noo 8.01
20160309 noo 7.81
20160310 noo 7.76
20160311 noo 7.74
20160314 noo 8.01
20160315 noo 7.91
20160316 long 7.83
20160317 long 7.97
20160318 long 8.12
20160321 long 8.26
20160322 long 8.27
20160323 long 8.22
20160324 noo 8.0
20160325 noo 8.05
20160328 noo 7.96
20160329 noo 7.91
20160330 noo 8.14
20160331 long 8.08
20160401 long 8.13
20160405 long 8.29
20160406 long 8.27
20160407 long 8.16
20160408 long_sell 8.03
20160411 noo 8.21
20160412 long 8.32
20160413 long 8.6
20160414 long 8.69
20160415 long 8.64
20160418 long 8.44
20160419 noo 8.57
20160420 noo 8.32
20160421 long_sell 8.23
20160527 noo 7.71
20160530 noo 7.71
20160531 noo 7.94
20160601 noo 7.89
20160602 noo 7.86
20160603 noo 7.93
20160606 noo 7.85
20160607 noo 7.82
20160608 noo 7.76
20160613 noo 7.55
20160615 noo 7.71
20160620 noo 0
20160621 noo 0
20160622 noo 7.84
20160623 noo 7.75
20160624 noo 7.65
20160627 noo 7.69
20160628 noo 7.92
20160629 noo 7.84
20160630 noo 7.81
20160701 noo 7.86
20160704 long 7.95
20160705 long 8.03
20160706 long 8.02
20160707 long 7.99
20160708 long 7.98
20160711 noo 7.97
20160712 long 8.14
20160713 long 8.17
20160714 long 8.13
20160715 long 8.19
20160718 noo 8.13
20160719 long 8.27
20160720 long 8.3
20160721 long 8.44
20160722 long 8.28
20160725 long 8.35
20160726 long 8.44
20160727 long 8.46
20160728 long 8.8
20160729 long 8.76
20160801 long 8.63
20160802 long_sell 8.85
20160803 long_sell 9.24
20160804 long_sell 9.24
20160809 noo 9.09
20160810 noo 9.11
20160811 noo 9.06
20160908 long 9.1
20160909 long 9.11
20160912 long_sell 8.81
20161011 long 9.33
20161012 long 9.18
20161013 noo 9.16
20161014 noo 9.3
20161017 noo 9.16
20161018 long 9.27
20161019 long 9.25
20161020 long_sell 9.11
20161024 noo 9.33
20161025 long 9.89
20161026 long 9.87
20161027 long 9.89
20161028 long 9.53
20161031 noo 9.55
20161101 noo 9.7
20161102 noo 9.84
20161103 long 10.09
20161104 long 10.15
20161107 long 10.1
20161108 long 10.17
20161109 noo 10.02
20161110 long 10.48
20161111 long 10.44
20161114 long 10.5
20161115 long 10.25
20161116 noo 10.09
20161117 long_sell 10.17
20161201 long 11.07
20161202 long 11.14
20161205 long 11.03
20161206 long 11.12
20161207 long_sell 11.1
20170105 noo 10.33
20170106 noo 10.29
20170109 long 10.41
20170110 long 10.57
20170111 long 10.51
20170112 noo 10.29
20170113 noo 10.48
20170116 noo 10.34
20170117 noo 10.22
20170118 noo 10.46
20170119 long 10.75
20170120 long 10.75
20170123 long 10.95
20170124 long 11.09
20170125 long 11.15
20170126 long 11.11
20170203 long 11.11
20170206 long 11.17
20170207 long 11.57
20170208 long 11.64
20170209 long 11.6
20170210 long 11.76
20170213 long 11.89
20170214 long 11.72
20170215 noo 11.56
20170216 noo 11.67
20170217 long_sell 11.3
20170321 long 11.68
20170322 long 11.54
20170323 long_sell 11.3
20170406 long 11.56
20170407 long 11.56
20170410 long 11.6
20170411 long 11.59
20170412 long 11.66
20170413 long 11.57
20170414 long 11.68
20170417 long 11.86
20170418 long 11.68
20170419 long_sell 11.39
20170517 noo 11.02
20170518 noo 11.05
20170519 noo 11.0
20170522 noo 10.92
20170523 noo 10.73
20170524 noo 10.81
20170525 noo 11.11
20170526 noo 11.19
20170531 noo 11.16
20170601 noo 11.1
20170602 noo 11.44
20170605 long 11.48
20170606 long 11.22
20170607 long 11.38
20170608 noo 11.42
20170609 long 11.59
20170612 long 11.79
20170613 long 11.8
20170614 long 11.64
20170615 long 11.62
20170616 noo 11.49
20170619 long 11.81
20170620 long 11.9
20170621 long 12.05
20170622 long 12.07
20170623 long 12.32
20170626 long 13.02
20170627 long 13.16
20170628 long 13.2
20170629 long 13.27
20170630 long 13.2
20170703 noo 13.0
20170704 noo 13.2
20170705 long 13.28
20170706 long 13.88
20170707 long 13.75
20170710 long 13.75
20170711 noo 13.1
20170712 long_sell 13.07
20170713 long_sell 13.66
20170719 long 14.32
20170720 long 14.17
20170721 long_sell 6.91
20170811 noo 6.63
20170814 noo 6.77
20170816 noo 6.68
20170817 noo 6.74
20170818 noo 6.81
20170821 noo 6.91
20170822 noo 6.9
20170823 noo 6.82
20170824 noo 6.79
20170825 noo 6.91
20170828 noo 6.9
20170829 noo 6.9
20170830 noo 6.92
20170831 noo 7.2
20170901 noo 7.25
20170904 noo 7.45
20170905 noo 7.42
20170906 noo 7.48
20170907 noo 7.31
20170908 noo 7.38
20170911 noo 7.5
20170912 noo 7.5
20170913 noo 7.57
20170914 noo 7.75
20170915 noo 7.61
20170918 noo 7.6
20170919 noo 7.5
20170921 noo 7.42
20171011 noo 7.52
20171012 noo 7.58
20171013 long 7.95
20171016 long 7.86
20171017 long 7.85
20171018 long 7.85
20171019 noo 7.59
20171020 noo 7.46
20171023 long_sell 7.5
20171025 long 7.74
20171026 long 7.98
20171027 long 7.94
20171030 long 8.01
20171031 long 8.35
20171101 long 8.6
20171102 long 8.59
20171103 long 8.24
20171106 long 8.8
20171107 long 8.74
20171108 noo 8.58
20171109 long 8.73
20171110 long 8.99
20171113 long 9.0
20171114 long 8.91
20171115 noo 8.63
20171116 noo 8.8
20171117 long_sell 8.7
20171220 noo 7.88
20171221 noo 8.11
20171222 noo 8.14
20171225 noo 8.13
20171226 noo 8.3
20171227 noo 8.26
20171228 long 8.34
20171229 long 8.34
20180102 long 8.64
20180103 long 8.56
20180104 long 8.61
20180105 long 8.48
20180108 long 8.93
20180109 long 8.87
20180110 long 8.92
20180111 long 8.74
20180112 noo 8.67
20180115 noo 8.59
20180116 long 9.0
20180117 long 9.08
20180118 long 9.05
20180119 long 8.99
20180122 long 9.1
20180123 long 9.18
20180124 noo 9.02
20180125 noo 8.98
20180126 long_sell 8.96
20180228 noo 8.5
20180301 noo 8.5
20180312 noo 8.54
20180313 noo 8.43
20180314 noo 8.4
20180315 noo 8.48
20180316 noo 8.38
20180319 noo 8.31
20180320 noo 8.22
20180411 noo 8.55
20180412 noo 8.43
20180413 long 8.71
20180416 noo 8.45
20180417 noo 8.33
20180418 long_sell 8.38
20180419 long_sell 8.34
20180420 long_sell 8.15
20180423 long_sell 8.14
20180424 long_sell 8.4
20180425 long_sell 8.32
20180510 noo 8.3
20180511 noo 8.29
20180514 noo 8.42
20180515 noo 8.43
20180516 long 8.4
20180517 long 8.54
20180518 long 8.59
20180521 long 8.51
20180522 long 8.6
20180523 long 8.57
20180524 noo 8.43
20180525 noo 8.57
20180528 long_sell 8.73
20180607 long 9.03
20180608 noo 8.85
20180611 long 8.99
20180612 long_sell 9.72
20180613 long_sell 9.75
20180614 long_sell 9.45
20180716 noo 8.65
20180717 noo 8.65
20180718 noo 8.51
20180719 noo 8.42
20180720 noo 8.5
20180723 noo 8.53
20180724 noo 8.82
20180725 noo 8.88
20180726 long 8.84
20180727 long 8.64
20180730 noo 8.74
20180731 noo 8.53
20180801 noo 8.54
20180802 long_sell 8.01
20180827 noo 7.77
20180828 noo 7.85
20180829 noo 7.82
20180830 noo 7.88
20180831 noo 8.0
20180903 noo 8.1
20180904 noo 8.06
20180905 noo 7.81
20180920 long 8.22
20180921 long 8.5
20180925 long 8.43
20180926 long 8.53
20180927 long 8.53
20180928 long 8.55
20181008 noo 8.35
20181009 noo 8.47
20181010 noo 8.49
20181011 noo 8.09
20181012 long_sell 8.11
20181114 noo 7.49
20181115 noo 7.54
20181116 noo 7.63
20181119 noo 7.69
20181120 noo 7.53
20181121 noo 7.51
20181122 noo 7.55
20181123 noo 7.43
20181126 noo 7.45
20181204 noo 7.75
20181205 noo 7.69
20181206 noo 7.6
20181207 noo 7.62
20181210 noo 7.51
20181211 noo 7.55
20181212 noo 7.59
20181213 noo 7.72
20181214 noo 7.7
20190110 long 7.82
20190111 long 7.9
20190114 long 8.01
20190115 long 8.12
20190116 long 8.12
20190117 long 8.25
20190118 long 8.23
20190121 long 8.27
20190122 long 8.2
20190123 long 8.33
20190124 long 8.33
20190125 long 8.6
20190128 long 8.56
20190129 long 8.8
20190130 long 8.72
20190131 long 8.85
20190201 long 8.97
20190211 long 9.06
20190212 long 9.34
20190213 long 9.39
20190214 long 9.4
20190215 noo 8.95
20190218 long 9.72
20190219 long 9.61
20190220 long 9.56
20190221 long 9.54
20190222 noo 9.5
20190225 long 9.92
20190226 long 9.6
20190227 long_sell 9.48
20190304 long 10.65
20190305 long 10.9
20190306 long 10.72
20190307 long 10.54
20190308 noo 10.3
20190311 noo 10.44
20190312 noo 10.5
20190313 long_sell 10.23
20190318 long 11.44
20190319 long 11.21
20190320 long 11.74
20190321 long 11.76
20190322 long 11.6
20190325 noo 11.2
20190326 noo 11.24
20190327 long 11.77
20190328 long_sell 11.44
20190329 long_sell 11.85
20190401 long 12.18
20190402 long 12.56
20190403 long 12.6
20190404 long 13.26
20190408 long 14.51
20190409 long 13.86
20190410 long 13.86
20190411 noo 13.2
20190412 noo 13.4
20190415 noo 12.93
20190416 long_sell 13.35
