time operation trade_price
20150105 long 7.37
20150106 long 7.26
20150107 long 7.48
20150108 long 7.29
20150109 long_sell 7.11
20150225 noo 6.48
20150226 noo 6.58
20150227 noo 6.6
20150302 noo 6.73
20150303 noo 6.64
20150304 noo 6.69
20150305 noo 6.58
20150306 noo 6.56
20150309 noo 6.6
20150310 noo 6.64
20150311 noo 6.6
20150312 long 6.7
20150313 long 6.72
20150316 long 6.88
20150317 long 6.96
20150318 long 7.1
20150319 long 7.2
20150320 long 7.17
20150323 long 7.32
20150324 long 7.29
20150325 noo 7.12
20150326 noo 7.13
20150327 noo 7.21
20150330 long 7.48
20150331 long 7.31
20150401 long 8.04
20150402 long 7.99
20150403 long 8.28
20150407 long 8.38
20150408 long 8.2
20150409 noo 7.99
20150410 noo 8.15
20150413 noo 8.27
20150414 long 8.55
20150415 long 8.01
20150416 long 8.21
20150417 long 8.38
20150420 long_sell 8.1
20150422 long 9.16
20150423 long 9.63
20150424 long 9.25
20150427 long 9.37
20150428 noo 8.84
20150429 noo 8.92
20150430 noo 8.98
20150504 long 9.44
20150505 long_sell 8.74
20150525 long 9.2
20150526 long 9.4
20150527 long 10.34
20150528 long 10.85
20150529 long 11.94
20150601 long 13.13
20150602 long 14.44
20150603 long 13.49
20150604 long 13.11
20150605 long 13.29
20150608 noo 13.58
20150609 long 14.94
20150610 long 13.82
20150611 noo 13.22
20150612 noo 13.18
20150615 long_sell 12.76
20150717 noo 8.65
20150720 noo 8.81
20150721 noo 8.91
20150722 noo 8.93
20150723 noo 9.25
20150724 noo 9.25
20150727 noo 8.33
20150728 noo 7.92
20150729 noo 8.38
20150730 noo 8.2
20150811 noo 9.04
20150812 noo 8.84
20150813 noo 9.72
20150814 long 10.1
20150817 long 10.38
20150818 long 9.34
20150819 noo 9.47
20150820 noo 9.55
20150821 noo 9.1
20150824 long_sell 8.19
20150825 long_sell 7.37
20150826 long_sell 6.76
20150909 noo 8.24
20150910 noo 8.08
20150911 noo 8.02
20150914 noo 7.68
20150921 noo 7.8
20150922 noo 7.81
20150923 noo 7.5
20150924 noo 7.64
20150925 noo 7.28
20150928 noo 7.39
20151009 noo 7.57
20151012 noo 7.91
20151013 noo 7.96
20151014 noo 7.79
20151015 noo 8.01
20151016 noo 8.11
20151019 noo 8.13
20151020 noo 8.22
20151021 noo 7.64
20151022 noo 7.81
20151023 noo 7.89
20151026 noo 7.92
20151027 noo 7.82
20151028 noo 7.69
20151029 noo 7.77
20151030 noo 7.74
20151104 noo 8.42
20151105 long 8.55
20151106 long 8.63
20151109 long 8.72
20151110 long 8.58
20151111 long 8.6
20151112 long 8.94
20151113 long 8.83
20151116 long 8.74
20151117 long 8.61
20151118 noo 8.52
20151119 noo 8.63
20151120 noo 8.61
20151123 long_sell 8.5
20151124 long_sell 8.49
20151221 noo 7.87
20151222 noo 7.88
20151223 noo 7.78
20151224 noo 7.64
20151225 noo 7.67
20151228 noo 7.49
20160216 noo 5.54
20160217 noo 5.52
20160218 noo 5.54
20160219 noo 5.51
20160222 noo 5.62
20160223 noo 5.57
20160224 noo 5.73
20160225 noo 5.2
20160226 noo 5.29
20160229 noo 5.14
20160301 noo 5.23
20160303 noo 5.5
20160304 noo 5.59
20160307 noo 5.61
20160308 noo 5.54
20160309 noo 5.46
20160310 noo 5.32
20160311 noo 5.33
20160314 noo 5.45
20160315 noo 5.44
20160316 noo 5.48
