time operation sell_price hold_day buy_price buy_date
20150113 sell 4.82 6 5.06 20150105
20150119 sell 4.64 1 5.15 20150116
20150120 sell 4.64 2 5.15 20150116
20150429 sell 5.53 30 4.63 20150317
20150529 sell 5.07 4 5.44 20150525
20150616 sell 5.23 7 5.32 20150605
20151103 sell 4.45 9 4.77 20151021
20151120 sell 4.66 11 4.64 20151105
20151208 sell 4.62 3 4.86 20151203
20151228 sell 4.59 3 4.67 20151223
20160325 sell 4.28 13 4.33 20160308
20160629 sell 4.42 21 4.29 20160527
20160708 sell 4.29 5 4.47 20160701
20160906 sell 4.46 18 4.42 20160811
20161207 sell 4.53 8 4.5 20161125
20161208 sell 4.54 9 4.5 20161125
20170301 sell 4.68 27 4.55 20170116
20170316 sell 4.7 2 4.76 20170314
20170405 sell 4.85 3 4.78 20170329
20170414 sell 4.81 6 4.83 20170406
20170607 sell 5.16 13 4.96 20170517
20170711 sell 5.06 7 5.25 20170630
20170810 sell 5.52 18 5.34 20170717
20170901 sell 5.79 7 5.85 20170823
20171024 sell 6.23 9 6.2 20171011
20171127 sell 5.98 2 6.12 20171123
20180202 sell 7.6 26 6.05 20171227
20180207 sell 7.13 1 7.57 20180206
20180208 sell 6.82 2 7.57 20180206
20180806 sell 5.51 4 5.65 20180731
20180807 sell 5.6 5 5.65 20180731
20180808 sell 5.51 6 5.65 20180731
20180809 sell 5.57 7 5.65 20180731
20181011 sell 5.4 8 5.75 20180921
20181106 sell 5.53 8 5.65 20181025
20190219 sell 5.57 15 5.39 20190122
20190308 sell 5.59 8 5.77 20190226
20190311 sell 5.61 9 5.77 20190226
20190425 sell 5.73 14 5.81 20190404
