time operation trade_price
20150105 noo 87.03
20150106 noo 90.4
20150107 noo 89.3
20150108 noo 90.8
20150109 noo 89.96
20150112 noo 87.4
20150113 noo 92.35
20150114 noo 90.8
20150115 noo 90.9
20150116 noo 91.34
20150119 noo 91.9
20150120 noo 94.79
20150121 noo 95.6
20150122 noo 95.28
20150123 noo 95.0
20150126 noo 97.98
20150127 noo 97.0
20150128 noo 95.25
20150129 noo 92.93
20150130 noo 92.9
20150202 noo 94.49
20150203 noo 93.6
20150204 noo 92.03
20150205 noo 89.63
20150206 noo 87.9
20150209 noo 89.28
20150210 noo 89.44
20150211 noo 91.0
20150212 noo 90.1
20150225 noo 97.19
20150226 noo 95.61
20150227 noo 97.7
20150302 noo 98.95
20150303 noo 97.96
20150304 noo 98.0
20150305 noo 98.8
20150306 noo 95.18
20150309 noo 96.95
20150310 noo 98.6
20150311 noo 96.95
20150312 noo 98.3
20150313 noo 98.28
20150316 noo 98.44
20150317 noo 108.28
20150318 noo 107.39
20150319 noo 106.1
20150320 noo 107.11
20150323 noo 107.43
20150324 noo 107.1
20150325 noo 107.45
20150326 noo 108.21
20150327 noo 112.5
20150330 noo 115.9
20150331 noo 114.86
20150401 noo 119.99
20150402 noo 121.13
20150403 noo 119.0
20150407 noo 120.19
20150408 noo 116.8
20150409 noo 115.19
20150410 noo 117.75
20150413 noo 126.57
20150414 noo 127.99
20150415 noo 131.24
20150416 noo 135.23
20150417 noo 131.88
20150420 noo 128.0
20150421 noo 127.57
20150422 noo 130.1
20150423 noo 126.65
20150424 noo 126.6
20150427 noo 126.72
20150428 noo 122.99
20150429 noo 128.25
20150430 noo 127.6
20150504 noo 124.35
20150505 noo 118.18
20150506 noo 115.7
20150507 noo 112.42
20150508 noo 115.01
20150511 noo 119.1
20150512 noo 122.98
20150513 noo 120.38
20150514 noo 116.58
20150515 noo 118.05
20150518 noo 123.2
20150519 noo 127.67
20150520 noo 126.6
20150521 noo 129.99
20150522 noo 139.55
20150525 noo 143.0
20150526 noo 143.03
20150527 noo 146.01
20150528 noo 157.87
20150529 noo 158.28
20150601 noo 174.11
20150602 noo 175.82
20150603 noo 174.2
20150604 noo 176.99
20150605 noo 171.88
20150608 noo 163.13
20150609 noo 165.68
20150610 noo 167.2
20150611 noo 181.6
20150612 noo 175.35
20150615 noo 163.8
20150616 noo 161.0
20150617 noo 160.89
20150618 noo 154.0
20150619 noo 148.8
20150623 noo 149.0
20150624 noo 150.52
20150625 noo 152.0
20150626 noo 139.0
20150629 noo 125.1
20150630 noo 130.0
20150701 noo 127.0
20150702 noo 127.0
20150703 noo 129.94
20150706 noo 125.9
20150707 noo 113.31
20150708 noo 104.29
20150709 noo 114.72
20150710 noo 126.19
20150723 noo 152.0
20150724 noo 150.18
20150727 noo 135.16
20150728 noo 135.0
20150729 noo 139.35
20150730 noo 142.13
20150731 noo 145.5
20150803 noo 149.88
20150804 noo 154.52
20150805 noo 149.6
20150806 noo 147.0
20150807 noo 149.01
20150810 noo 153.39
20150811 noo 149.84
20150812 noo 147.59
20150813 noo 144.85
20150814 noo 148.0
20150817 noo 153.58
20150818 noo 140.22
20150819 noo 146.44
20150820 noo 134.88
20150821 noo 122.66
20150824 noo 110.39
20150825 noo 99.35
20150826 noo 103.0
20150827 noo 103.3
20150828 noo 106.52
20150831 noo 99.88
20150901 noo 89.89
20150902 noo 91.14
20150907 noo 93.25
20150908 noo 96.58
20150909 noo 99.12
20150910 noo 97.92
20150911 noo 96.21
20150914 noo 88.0
20150915 noo 82.71
20150916 noo 90.98
20150917 noo 88.99
20150918 noo 97.89
20150921 noo 99.44
20150923 noo 99.1
20150924 noo 100.5
20150925 noo 96.0
20150928 noo 99.0
20150929 noo 99.39
20150930 noo 97.1
20151008 noo 100.9
20151009 noo 104.5
20151012 noo 106.01
20151013 noo 109.4
20151014 noo 105.99
20151015 noo 108.25
20151016 noo 108.1
20151019 noo 112.0
20151020 noo 112.5
20151021 noo 108.5
20151022 noo 116.9
20151023 noo 122.5
20151026 noo 123.0
20151027 noo 127.07
20151028 noo 122.15
20151029 noo 121.5
20151030 noo 124.7
20151102 noo 120.6
20151103 noo 116.42
20151104 noo 122.24
20151105 noo 117.7
20151106 noo 119.18
20151109 noo 119.52
20151110 noo 120.0
20151111 noo 122.43
20151112 noo 122.73
20151113 noo 121.9
20151116 noo 119.8
20151117 noo 116.71
20151118 noo 114.4
20151119 noo 116.65
20151120 noo 116.82
20151123 noo 115.13
20151124 noo 117.14
20151125 noo 118.0
20151126 noo 119.8
20151127 noo 117.6
20151130 noo 114.77
20151201 noo 113.8
20151202 noo 114.15
20151203 noo 125.57
20151204 noo 123.5
20151207 noo 135.85
20151208 noo 134.0
20151209 noo 133.88
20151210 noo 131.6
20151211 noo 127.58
20151214 noo 128.49
20151215 noo 119.86
20151216 noo 120.58
20151217 noo 123.13
20151218 noo 122.65
20151221 noo 125.3
20151222 noo 123.86
20151223 noo 128.99
20151224 noo 132.15
20151225 noo 129.08
20151228 noo 122.8
20151229 noo 123.7
20151230 noo 123.4
20151231 noo 120.45
20160104 noo 108.41
20160105 noo 108.5
20160106 noo 110.7
20160107 noo 100.99
20160108 noo 103.5
20160111 noo 98.78
20160112 noo 100.6
20160113 noo 98.0
20160114 noo 100.8
20160115 noo 103.56
20160118 noo 107.8
20160204 noo 97.92
20160205 noo 97.1
20160215 noo 97.93
20160216 noo 102.5
20160217 noo 102.01
20160218 noo 103.88
20160219 noo 102.69
20160222 noo 104.49
20160223 noo 103.97
20160224 noo 102.88
20160225 noo 95.19
20160226 noo 96.38
20160229 noo 91.0
20160301 noo 92.19
20160302 noo 96.05
20160303 noo 95.79
20160304 noo 92.8
20160307 noo 94.95
20160308 noo 94.95
20160309 noo 94.3
20160310 noo 93.25
20160311 noo 90.1
20160314 noo 93.4
20160315 noo 94.5
20160316 noo 93.05
20160317 noo 96.55
20160318 noo 99.8
20160321 noo 104.66
20160322 noo 103.52
20160323 noo 103.68
20160324 noo 101.97
20160325 noo 100.8
20160328 noo 100.49
20160329 noo 97.7
20160330 noo 101.07
20160331 noo 101.9
20160401 noo 102.5
20160405 noo 103.52
20160406 noo 104.15
20160407 noo 107.0
20160408 noo 105.5
20160411 noo 106.44
20160412 noo 105.2
20160413 noo 107.98
