time operation trade_price
20150105 noo 8.2
20150106 noo 8.06
20150115 noo 7.72
20150126 noo 7.28
20150127 noo 7.53
20150128 noo 7.34
20150129 noo 7.2
20150209 noo 6.48
20150210 noo 6.65
20150212 noo 6.74
20150213 noo 6.75
20150216 noo 6.74
20150217 noo 6.93
20150225 noo 6.84
20150226 noo 7.52
20150227 long 8.1
20150302 noo 8.09
20150303 noo 8.17
20150304 noo 7.93
20150305 noo 7.75
20150306 long_sell 7.59
20150313 noo 7.73
20150316 noo 7.78
20150317 noo 8.07
20150318 noo 8.14
20150319 noo 8.88
20150320 noo 8.67
20150323 noo 9.02
20150324 noo 9.23
20150325 noo 8.94
20150327 noo 9.19
20150330 noo 10.11
20150331 noo 9.89
20150401 noo 10.06
20150402 noo 9.96
20150403 noo 9.83
20150408 noo 10.58
20150409 noo 10.29
20150410 noo 10.39
20150413 noo 10.67
20150414 noo 10.88
20150415 noo 11.35
20150416 noo 0
20150417 noo 0
20150420 noo 0
20150421 noo 0
20150422 noo 0
20150423 noo 0
20150424 noo 12.49
20150427 noo 13.74
20150428 noo 15.11
20150429 noo 16.62
20150430 noo 18.28
20150504 noo 17.2
20150505 noo 15.52
20150506 noo 15.74
20150512 noo 16.21
20150514 noo 15.34
20150515 noo 14.97
20150522 noo 15.95
20150525 noo 17.33
20150526 noo 17.19
20150527 noo 16.49
20150604 noo 15.44
20150605 noo 16.68
20150608 noo 16.29
20150609 noo 16.11
20150611 noo 15.5
20150710 noo 10.23
20150713 noo 11.25
20150714 noo 10.35
20150715 noo 9.35
20150716 noo 9.41
20150721 noo 10.91
20150722 noo 10.69
20150723 noo 11.04
20150724 noo 11.18
20150803 noo 10.18
20150804 noo 10.52
20150805 noo 10.39
20150806 long 10.01
20150807 noo 10.19
20150810 noo 10.98
20150811 noo 10.76
20150812 noo 10.8
20150813 noo 11.0
20150814 noo 11.16
20150817 noo 11.12
20150818 long_sell 10.01
20150819 long_sell 10.07
20150901 noo 7.93
20150902 noo 8.39
20150907 noo 7.86
20150908 noo 7.97
20150909 noo 8.13
20150910 noo 8.13
20150914 noo 8.07
20150921 noo 8.11
20150922 noo 8.04
20150924 noo 7.81
20151012 noo 8.05
20151013 long 8.05
20151014 noo 7.91
20151015 noo 8.12
20151016 noo 8.32
20151019 noo 8.23
20151020 noo 8.93
20151021 noo 8.98
20151022 noo 9.02
20151023 noo 8.91
20151026 noo 8.92
20151027 long_sell 8.76
20151028 long_sell 8.47
20151104 noo 8.72
20151105 noo 9.37
20151106 noo 9.43
20151109 noo 9.53
20151110 noo 9.49
20151111 noo 9.4
20151120 noo 9.16
20151125 noo 9.09
20151204 noo 8.29
20151207 noo 8.3
20151215 noo 8.09
20151216 noo 8.14
20151217 noo 8.25
20151218 noo 8.19
20151221 noo 8.36
20151222 noo 8.33
20151223 noo 8.33
20160114 noo 6.86
20160119 noo 7.1
20160120 noo 7.24
20160122 noo 7.03
20160125 noo 7.03
20160204 noo 6.33
20160205 noo 6.32
20160215 noo 6.21
20160216 noo 6.42
20160217 noo 6.69
20160218 noo 6.6
20160219 noo 6.61
20160222 noo 6.8
20160223 long 6.64
20160224 noo 6.72
20160225 long_sell 6.06
20160226 long_sell 6.12
20160303 noo 6.31
20160304 noo 6.45
20160307 noo 6.47
20160308 noo 6.47
20160309 long 6.47
20160310 long_sell 6.22
20160316 noo 6.53
20160317 noo 6.57
20160318 noo 6.59
20160321 noo 6.81
20160322 noo 6.69
20160323 noo 6.64
20160405 noo 6.73
20160406 noo 6.69
20160407 noo 6.63
20160408 noo 6.5
20160411 noo 6.63
20160414 noo 6.73
20160415 noo 6.67
20160427 noo 0
20160428 noo 0
20160429 noo 0
20160503 noo 0
20160504 noo 0
20160505 noo 0
20160506 noo 0
20160509 noo 0
20160510 noo 0
20160531 noo 6.01
20160601 noo 5.99
20160602 noo 5.96
20160603 noo 5.98
20160606 noo 5.95
20160629 noo 5.78
20160630 noo 5.71
20160701 noo 5.68
20160704 noo 5.81
20160705 long 6.0
20160706 noo 5.9
20160707 noo 5.91
20160708 noo 5.86
20160711 noo 5.87
20160712 long_sell 5.98
20160713 noo 6.04
20160714 noo 5.91
20160715 noo 5.92
20160718 noo 5.87
20160729 noo 5.95
20160803 noo 5.8
20160808 noo 5.81
20160809 noo 5.98
20160810 noo 5.96
20160811 long 5.88
20160812 noo 6.04
20160815 noo 6.24
20160816 noo 6.38
20160817 noo 6.36
20160818 noo 6.35
20160819 noo 6.5
20160822 noo 6.28
20160823 long_sell 6.28
20160829 noo 6.34
20160830 noo 6.3
20160831 noo 6.29
20160902 noo 6.25
20160907 noo 6.33
20160908 noo 6.32
20160909 noo 6.37
20160912 noo 6.44
20160913 noo 6.38
20161010 noo 6.08
20161011 noo 6.1
20161012 noo 6.06
20161013 noo 6.15
20161014 noo 6.24
20161017 noo 6.17
20161018 long 6.49
20161019 noo 6.44
20161020 noo 6.41
20161021 noo 7.05
20161024 noo 7.32
20161025 noo 7.21
20161026 noo 7.14
20161027 noo 7.05
20161028 long_sell 6.84
20161031 long_sell 6.79
20161101 long_sell 6.84
20161103 noo 7.08
20161104 noo 7.02
20161107 noo 7.0
20161108 noo 6.99
20161109 noo 6.93
20161110 noo 7.11
20161111 noo 7.27
20161114 noo 7.46
20161115 noo 7.3
20161116 noo 7.23
20161117 noo 7.55
20161118 noo 7.37
20161121 noo 7.57
20161122 noo 7.61
20161123 noo 7.49
20161125 noo 7.61
20161128 noo 7.94
20161129 noo 8.38
20161130 noo 8.04
20161201 noo 8.03
20161202 noo 8.18
20161221 noo 7.17
20161222 noo 7.16
20161223 noo 7.13
20161226 noo 7.27
20161227 noo 7.26
20161229 noo 7.33
20161230 noo 7.26
20170104 noo 7.31
20170105 noo 7.21
20170119 noo 7.04
20170120 noo 7.09
20170123 noo 7.1
20170124 noo 7.26
20170125 long 7.33
20170126 noo 7.25
20170203 noo 7.21
20170206 noo 7.24
20170207 long_sell 7.18
20170208 long_sell 7.17
20170209 noo 7.3
20170210 noo 7.5
20170213 noo 7.53
20170214 noo 7.69
20170215 noo 7.52
20170216 noo 7.72
20170217 noo 7.55
20170220 noo 7.74
20170221 noo 7.73
20170222 noo 7.7
20170224 noo 7.61
20170316 noo 7.38
20170317 noo 7.34
20170320 noo 7.45
20170321 noo 7.59
20170322 noo 7.66
20170323 long 7.64
20170324 noo 7.98
20170327 noo 7.85
20170328 noo 7.82
20170329 noo 7.83
20170330 noo 7.82
20170331 long_sell 7.68
20170405 noo 8.27
20170406 noo 8.4
20170407 noo 8.27
20170410 noo 8.21
20170411 noo 8.38
20170412 long_sell 8.19
20170414 noo 8.27
20170417 noo 8.53
20170418 noo 8.42
20170419 noo 8.29
20170420 noo 8.56
20170421 noo 8.56
20170502 noo 8.42
20170503 noo 8.18
20170504 noo 8.69
20170505 noo 8.75
20170508 noo 8.63
20170509 noo 8.46
20170526 noo 7.86
20170531 noo 7.94
20170601 noo 8.0
20170602 noo 7.95
20170605 noo 7.89
20170606 noo 7.92
20170607 noo 8.02
20170609 noo 8.11
20170612 noo 8.09
20170613 noo 8.08
20170622 noo 7.93
20170623 noo 7.99
20170626 long 8.0
20170627 noo 8.03
20170628 noo 7.94
20170629 noo 7.93
20170630 long_sell 7.92
20170710 noo 8.01
20170711 long 7.98
20170712 noo 8.15
20170713 noo 8.25
20170714 noo 8.18
20170717 noo 8.08
20170718 noo 8.3
20170719 noo 8.29
20170720 noo 8.35
20170721 noo 8.3
20170724 noo 8.17
20170725 long_sell 8.13
20170726 long_sell 8.26
20170801 noo 8.18
20170810 noo 8.0
20170811 noo 7.98
20170814 noo 8.07
20170815 noo 8.04
20170816 noo 7.96
20170817 noo 8.26
20170818 long 8.22
20170821 noo 8.2
20170822 noo 8.17
20170823 noo 8.09
20170824 long_sell 8.02
20170825 noo 8.27
20170828 noo 8.29
20170829 noo 8.27
20170830 noo 8.26
20170831 noo 8.19
20170906 noo 8.37
20170907 noo 8.24
20170908 noo 8.17
20170911 noo 8.17
20170912 noo 8.16
20170915 noo 8.17
20170918 noo 8.17
20170919 noo 8.16
20170926 noo 8.16
20171019 noo 7.99
20171020 noo 7.94
20171024 noo 8.0
20171025 noo 7.98
20171026 noo 8.08
20171027 noo 7.96
20171030 noo 7.94
20171120 noo 7.36
20171121 noo 7.39
20171122 noo 7.44
20171123 noo 7.28
20171201 noo 7.36
20171204 noo 7.4
20171205 noo 7.58
20171206 noo 7.52
20171207 noo 7.53
20171208 long 7.51
20171211 noo 7.51
20171212 long_sell 7.49
20180102 noo 7.35
20180103 noo 7.4
20180104 noo 7.45
20180105 long 7.48
20180108 noo 7.54
20180109 noo 7.51
20180110 noo 7.45
20180111 noo 7.57
20180112 noo 7.51
20180115 long_sell 7.37
20180116 long_sell 7.41
20180117 noo 7.62
20180118 noo 7.79
20180119 noo 7.7
20180122 noo 7.68
20180123 noo 7.7
20180124 noo 7.71
20180207 noo 7.33
20180223 noo 7.25
