time operation sell_price hold_day buy_price buy_date
20150702 sell 44.55 2 55.0 20150617
20150730 sell 35.65 4 47.64 20150724
20150820 sell 37.2 5 38.89 20150813
20160613 sell 13.25 25 38.89 20150813
20160826 sell 14.29 8 14.94 20160816
20161020 sell 13.95 8 14.04 20161010
20161124 sell 13.48 1 13.69 20161123
20170111 sell 12.92 10 12.97 20161227
20170301 sell 12.88 14 12.81 20170209
20170421 sell 14.53 24 13.09 20170316
20170509 sell 14.51 35 13.09 20170316
20170526 sell 14.92 9 14.88 20170515
20170717 sell 16.39 23 15.52 20170607
20170801 sell 15.83 34 15.52 20170607
20170822 sell 15.78 6 16.1 20170814
20170925 sell 16.9 30 16.1 20170814
20180103 sell 20.9 13 21.0 20171214
20180413 sell 25.5 30 23.04 20180228
20180514 sell 28.54 14 26.61 20180420
20180720 sell 22.39 8 23.25 20180710
20180905 sell 16.4 41 23.25 20180710
20181011 sell 15.4 7 16.8 20180925
20181122 sell 16.92 37 16.8 20180925
20181211 sell 16.26 4 16.68 20181205
20190104 sell 14.01 20 16.68 20181205
20190304 sell 17.55 25 15.49 20190121
20190328 sell 17.94 8 18.69 20190318
