time operation sell_price hold_day buy_price buy_date
20150304 sell 21.3 8 22.59 20150213
20150417 sell 28.03 23 22.43 20150316
20150505 sell 27.39 8 30.23 20150422
20150521 sell 30.45 6 29.88 20150513
20150821 sell 19.91 4 26.25 20150817
20151027 sell 16.83 18 14.29 20150924
20151225 sell 27.64 9 27.95 20151214
20160331 sell 19.15 8 19.32 20160321
20160530 sell 15.87 2 16.01 20160526
20160615 sell 17.33 9 17.46 20160531
20160823 sell 16.89 5 17.6 20160816
20161031 sell 16.09 3 16.14 20161026
20161123 sell 16.86 20 16.14 20161026
20170109 sell 15.43 4 15.74 20170103
20170209 sell 15.55 5 15.57 20170126
20170418 sell 15.05 4 15.33 20170412
20170519 sell 14.76 5 15.11 20170512
20170609 sell 15.01 7 15.23 20170531
20170711 sell 15.56 17 15.18 20170616
20170727 sell 16.15 29 15.18 20170616
20170808 sell 15.83 2 16.05 20170804
20170908 sell 16.24 13 15.96 20170822
20171016 sell 15.83 4 16.24 20171010
20171213 sell 14.34 3 14.65 20171208
20180131 sell 13.27 8 13.96 20180119
20180315 sell 12.3 34 13.96 20180119
20180410 sell 12.24 50 13.96 20180119
20180517 sell 12.13 8 12.29 20180507
20180802 sell 8.94 7 9.45 20180724
20181128 sell 10.52 23 8.54 20181026
20190116 sell 9.56 6 9.88 20190108
20190314 sell 13.22 21 10.04 20190213
20190419 sell 14.52 12 14.59 20190402
