time operation trade_price
20180102 noo 27.43
20180103 noo 27.55
20180104 noo 28.13
20180105 noo 27.99
20180108 noo 27.6
20180109 noo 27.33
20180110 noo 28.56
20180111 noo 27.94
20180112 noo 28.17
20180115 noo 29.23
20180116 noo 29.66
20180117 noo 28.86
20180118 noo 29.27
20180119 noo 28.73
20180122 noo 29.62
20180123 noo 29.46
20180124 noo 28.58
20180125 noo 28.08
20180126 noo 28.4
20180129 noo 27.49
20180130 noo 27.49
20180131 noo 27.89
20180201 noo 27.85
20180202 noo 28.59
20180205 noo 27.9
20180206 noo 27.0
20180207 noo 25.82
20180208 noo 25.15
20180209 noo 25.14
20180212 noo 26.55
20180213 noo 26.84
20180214 noo 26.8
20180222 noo 27.54
20180223 noo 27.39
20180226 noo 27.81
20180227 noo 27.04
20180228 noo 27.11
20180301 noo 27.47
20180302 noo 27.74
20180305 noo 27.31
20180306 noo 27.95
20180307 noo 27.48
20180308 noo 28.08
20180309 noo 28.5
20180312 noo 28.5
20180313 noo 28.02
20180314 noo 28.61
20180315 noo 28.52
20180316 noo 28.0
20180319 noo 27.9
20180320 noo 28.05
20180321 long 27.82
20180322 noo 26.94
20180323 noo 26.74
20180326 noo 25.32
20180327 noo 25.32
20180328 noo 24.79
20180329 noo 25.48
20180330 noo 25.6
20180402 noo 24.8
20180403 noo 24.53
20180404 noo 25.6
20180409 noo 25.38
20180410 noo 25.82
20180411 long_sell 26.14
20180426 noo 26.35
20180427 noo 25.01
20180502 noo 24.76
20180503 noo 24.55
20180504 noo 24.21
20180507 noo 24.93
20180508 noo 25.5
20180509 noo 25.6
20180510 noo 26.25
20180511 noo 26.15
20180514 noo 26.9
20180515 noo 26.92
20180516 noo 26.97
20180517 noo 26.58
20180518 noo 27.33
20180521 noo 27.08
20180522 noo 27.0
20180523 noo 26.42
20180524 noo 26.0
20180525 noo 26.4
20180528 noo 27.5
20180529 noo 27.64
20180530 noo 28.25
20180531 noo 29.3
20180601 noo 28.65
20180604 noo 29.39
20180605 noo 29.2
20180606 noo 28.85
20180607 noo 28.56
20180608 noo 28.7
20180611 noo 28.05
20180612 noo 29.29
20180613 noo 27.89
20180614 noo 27.77
20180615 noo 27.27
20180619 noo 26.09
20180620 noo 26.61
20180621 noo 26.72
20180622 noo 27.18
20180625 noo 26.92
20180626 noo 26.9
20180627 noo 25.7
20180628 noo 25.37
20180629 noo 26.41
20180702 noo 25.15
20180703 noo 25.6
20180704 noo 24.95
20180705 noo 24.96
20180706 noo 24.7
20180709 noo 25.66
20180710 noo 25.57
20180711 noo 25.5
20180727 noo 26.4
20180730 noo 25.72
20180731 noo 25.23
20180801 noo 25.66
20180802 noo 26.0
20180803 noo 24.13
20180806 noo 22.99
20180807 noo 23.62
20180808 noo 23.31
20180809 noo 23.9
20180810 noo 24.18
20180813 noo 24.0
20180814 noo 24.01
20180815 noo 24.9
20180816 noo 22.41
20180817 noo 22.56
20180820 noo 22.4
20180821 noo 22.64
20180822 noo 22.86
20180823 noo 23.06
20180824 noo 22.72
20180827 noo 23.95
20180828 noo 24.26
20180829 noo 23.92
20180830 noo 23.62
20180831 noo 23.3
20180903 noo 23.38
20180904 noo 23.71
20180905 noo 23.98
20180906 noo 23.49
20180907 noo 24.0
20180910 noo 23.92
20180911 noo 23.93
20180912 noo 23.6
20180913 noo 23.8
20180914 noo 24.15
20180917 noo 23.78
20180918 noo 23.97
20180919 noo 24.28
20180920 noo 25.0
20180921 noo 26.06
20180925 noo 25.87
20180926 noo 26.11
20180927 noo 25.7
20180928 noo 26.15
20181008 noo 25.09
20181009 noo 25.09
20181010 noo 25.35
20181011 noo 24.61
20181012 noo 24.98
20181015 noo 23.24
20181016 noo 23.26
20181017 noo 23.29
20181018 noo 23.29
20181019 noo 23.86
20181113 noo 23.55
20181114 noo 23.56
20181115 noo 23.72
20181116 noo 23.86
20181119 noo 23.6
20181120 noo 23.03
20181121 noo 23.35
20181122 noo 23.12
20181123 noo 22.75
20181126 noo 22.05
20181127 noo 22.4
20181128 noo 22.55
20181129 noo 22.24
20181130 noo 22.9
20181203 noo 24.05
20181204 noo 23.97
20181205 noo 24.01
20181206 noo 23.49
20181207 noo 22.59
20181210 noo 22.55
20181211 noo 22.38
20181212 noo 22.85
20181213 noo 23.17
20181214 noo 22.5
20181217 noo 22.6
20181218 noo 22.84
20181219 noo 22.98
20181220 noo 23.32
20181221 noo 23.55
20181224 noo 23.8
20181225 noo 23.6
20181226 noo 23.75
20181227 noo 23.89
20181228 noo 23.59
20190102 noo 24.0
20190103 noo 23.27
20190104 noo 24.02
20190107 noo 24.95
20190108 noo 24.79
20190109 noo 24.76
20190110 noo 24.74
20190111 noo 24.7
20190114 noo 24.46
20190115 noo 24.96
20190116 noo 25.06
20190117 noo 24.5
20190118 noo 24.5
20190121 noo 0
20190122 noo 0
20190123 noo 0
20190124 noo 0
20190125 noo 0
20190128 noo 24.14
20190129 noo 24.66
20190130 noo 24.38
20190131 noo 25.0
20190201 noo 25.11
20190211 noo 25.63
20190212 noo 25.33
20190213 noo 25.4
20190214 noo 25.77
20190215 noo 25.16
20190218 noo 25.54
20190219 noo 24.89
20190220 noo 24.75
20190221 noo 24.56
20190222 noo 24.12
20190225 noo 24.77
20190226 noo 24.08
