time operation trade_price
20180102 noo 15.59
20180103 noo 15.57
20180104 noo 15.49
20180105 noo 15.7
20180108 noo 15.69
20180109 noo 15.56
20180110 noo 15.23
20180111 noo 15.33
20180112 noo 15.12
20180115 noo 14.84
20180116 noo 14.86
20180117 noo 15.3
20180118 noo 15.19
20180119 noo 15.26
20180122 noo 16.14
20180123 noo 16.18
20180124 noo 16.85
20180125 noo 16.78
20180126 noo 16.67
20180129 noo 16.55
20180130 noo 16.66
20180131 noo 16.4
20180201 noo 16.17
20180202 noo 16.64
20180205 noo 16.76
20180206 noo 15.91
20180207 noo 16.47
20180208 noo 16.35
20180209 noo 15.24
20180212 noo 15.48
20180213 noo 15.62
20180214 noo 16.29
20180222 long 17.12
20180223 long 16.68
20180226 long 16.87
20180227 long 17.29
20180228 long 16.84
20180301 long 17.07
20180302 noo 17.95
20180305 noo 17.8
20180306 noo 17.77
20180307 noo 17.35
20180308 noo 17.47
20180309 noo 17.6
20180312 noo 17.52
20180313 noo 17.19
20180314 noo 17.18
20180315 noo 17.08
20180316 noo 17.14
20180319 noo 17.32
20180320 noo 17.14
20180321 noo 16.87
20180322 noo 16.69
20180323 noo 16.48
20180326 noo 16.48
20180327 noo 16.83
20180328 noo 16.52
20180329 noo 16.48
20180330 noo 16.86
20180402 noo 16.8
20180403 noo 16.44
20180404 noo 16.43
20180409 noo 15.94
20180410 noo 16.06
20180411 noo 16.14
20180412 noo 16.1
20180413 noo 15.94
20180416 noo 15.97
20180417 noo 15.49
20180418 noo 15.54
20180419 noo 15.37
20180420 noo 15.25
20180423 noo 15.18
20180424 noo 15.63
20180425 noo 15.53
20180426 noo 15.75
20180427 long_sell 15.76
20180514 noo 16.29
20180515 noo 16.58
20180516 noo 17.1
20180517 noo 17.31
20180518 noo 17.21
20180521 noo 17.37
20180522 noo 17.29
20180523 noo 17.56
20180524 noo 17.25
20180525 noo 17.28
20180528 noo 17.2
20180529 noo 17.27
20180530 noo 16.66
20180531 noo 17.81
20180601 noo 17.59
20180604 noo 16.77
20180605 noo 17.01
20180606 noo 17.66
20180607 noo 17.43
20180608 noo 17.43
20180611 noo 17.67
20180612 noo 17.52
20180613 noo 17.01
20180614 noo 16.82
20180615 noo 16.16
20180619 noo 16.15
20180620 noo 16.14
20180621 noo 15.67
20180622 noo 15.89
20180625 noo 15.58
20180626 noo 15.74
20180627 noo 15.75
20180628 noo 15.82
20180629 noo 16.04
20180702 noo 15.61
20180703 noo 15.51
20180704 noo 15.22
20180705 noo 15.44
20180706 noo 15.39
20180709 noo 15.6
20180710 noo 15.64
20180711 noo 15.21
20180712 noo 15.64
20180713 noo 15.6
20180716 noo 15.44
20180717 noo 15.37
20180718 noo 15.29
20180719 noo 15.11
20180720 noo 15.32
20180723 noo 15.57
20180724 noo 15.73
20180725 noo 15.69
20180726 noo 15.66
20180727 noo 15.65
20180730 noo 15.1
20180731 noo 15.13
20180801 noo 14.9
20180802 noo 14.08
20180803 noo 13.33
20180806 noo 13.21
20180807 noo 13.5
20180808 noo 13.17
