date,Unnamed: 0,Unnamed: 0.1,_id,updatetime,suspend,vol,high,amount,code,low,time,close,open,flow,total,percent,settle,wd,close_EMA_5,close_EMA_7,close_EMA_14,close_EMA_21,close_EMA_3,close_EMA_15,close_EMA_30,close_EMA_45,close_EMA_25,close_EMA_50,close_EMA_75,close_EMA_10,close_EMA_20,close_EMA_40,close_EMA_80,close_EMA_5_3,close_EMA_10_3,close_EMA_20_3,close_EMA_40_3,close_EMA_80_3,close_EMA_5_-3,close_EMA_10_-3,close_EMA_20_-3,close_EMA_40_-3,close_EMA_80_-3,close_shift_4,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,RSI_24,Dea,MACD,close_EMA_26,close_EMA_12,close_MA_5,close_MA_10,close_MA_20,close_MA_30,close_MA_40,close_MA_60,Klength,KUpperlength,KLowerlength,MeanAmplitude,MB,UP,DN,CR_5,OBV,TRIX,TRMA,VR,AR,BR,PSY6,open_shift_1,MACD_shift_1,RSI_12_shift_1,K_shift_1,D_shift_1,close_MA_20_shift_1,close_MA_10_shift_1,close_MA_5_shift_1,close_shift_1,DEA,DEA_shift_1,D_shift_1#80#1&HS&thre,D_shift_1#10#0&thre,D_shift_1#90#1&HS&thre,close#close_shift_1#1&diff,K#80#1&HS&thre,close_MA_10_shift_1#close_MA_5#1&diff,RSI_12#40#0&thre,K#90#1&thre,RSI_12#20#1&thre,D_shift_1#80#1&thre,K#80#1&HS&thre*close#close_shift_1#1&diff*K#90#1&thre+K#80#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#10#0&thre+K#80#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#80#1&thre+K#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*K#90#1&thre+K#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#10#0&thre+K#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#80#1&thre+K#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*K#90#1&thre+K#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#10#0&thre+K#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#80#1&thre+D_shift_1#80#1&HS&thre*close#close_shift_1#1&diff*K#90#1&thre+D_shift_1#80#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#10#0&thre+D_shift_1#80#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#80#1&thre+D_shift_1#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*K#90#1&thre+D_shift_1#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#10#0&thre+D_shift_1#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#80#1&thre+D_shift_1#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*K#90#1&thre+D_shift_1#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#10#0&thre+D_shift_1#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#80#1&thre+D_shift_1#90#1&HS&thre*close#close_shift_1#1&diff*K#90#1&thre+D_shift_1#90#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#10#0&thre+D_shift_1#90#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#80#1&thre+D_shift_1#90#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*K#90#1&thre+D_shift_1#90#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#10#0&thre+D_shift_1#90#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#80#1&thre+D_shift_1#90#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*K#90#1&thre+D_shift_1#90#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#10#0&thre+D_shift_1#90#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#80#1&thre,K#10#0&thre,D_shift_1#30#0&HS&thre,D_shift_1#20#0&thre,close_MA_20#close#1&HS&diff,close_MA_20_shift_1#close_MA_20#1&HS&diff,open#close#1&diff,open#open_shift_1#1&HS&diff,D_shift_1#90#1&thre,close_MA_20#close#1&HS&diff*open#open_shift_1#1&HS&diff*D_shift_1#90#1&HS&thre+close_MA_20#close#1&HS&diff*open#open_shift_1#1&HS&diff*open#close#1&diff+close_MA_20#close#1&HS&diff*open#open_shift_1#1&HS&diff*K#10#0&thre+close_MA_20#close#1&HS&diff*D_shift_1#20#0&thre*D_shift_1#90#1&HS&thre+close_MA_20#close#1&HS&diff*D_shift_1#20#0&thre*open#close#1&diff+close_MA_20#close#1&HS&diff*D_shift_1#20#0&thre*K#10#0&thre+close_MA_20#close#1&HS&diff*D_shift_1#90#1&thre*D_shift_1#90#1&HS&thre+close_MA_20#close#1&HS&diff*D_shift_1#90#1&thre*open#close#1&diff+close_MA_20#close#1&HS&diff*D_shift_1#90#1&thre*K#10#0&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*open#open_shift_1#1&HS&diff*D_shift_1#90#1&HS&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*open#open_shift_1#1&HS&diff*open#close#1&diff+close_MA_20_shift_1#close_MA_20#1&HS&diff*open#open_shift_1#1&HS&diff*K#10#0&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#20#0&thre*D_shift_1#90#1&HS&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#20#0&thre*open#close#1&diff+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#20#0&thre*K#10#0&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#90#1&thre*D_shift_1#90#1&HS&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#90#1&thre*open#close#1&diff+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#90#1&thre*K#10#0&thre+D_shift_1#30#0&HS&thre*open#open_shift_1#1&HS&diff*D_shift_1#90#1&HS&thre+D_shift_1#30#0&HS&thre*open#open_shift_1#1&HS&diff*open#close#1&diff+D_shift_1#30#0&HS&thre*open#open_shift_1#1&HS&diff*K#10#0&thre+D_shift_1#30#0&HS&thre*D_shift_1#20#0&thre*D_shift_1#90#1&HS&thre+D_shift_1#30#0&HS&thre*D_shift_1#20#0&thre*open#close#1&diff+D_shift_1#30#0&HS&thre*D_shift_1#20#0&thre*K#10#0&thre+D_shift_1#30#0&HS&thre*D_shift_1#90#1&thre*D_shift_1#90#1&HS&thre+D_shift_1#30#0&HS&thre*D_shift_1#90#1&thre*open#close#1&diff+D_shift_1#30#0&HS&thre*D_shift_1#90#1&thre*K#10#0&thre
20150105,3994,3994,600188XSHG20150105,20200210005647,0,364983,14.5,516776512,600188.XSHG,13.36,1500,14.5,13.36,295998.0,491840.0,10.0151745068,13.18,4.0,13.403884362158198,13.230200156706555,12.862777768641575,12.513491251116715,13.721172374433456,12.813799707554343,12.075365506532256,11.452366841930894,12.314279834694547,11.274791121010866,10.55963548089917,13.058133277597568,12.56384661097699,11.644259301365425,10.444688730051062,13.806000893022947,13.449877275925493,12.940762009306296,11.993587080406387,10.758029391952595,13.001767831293455,12.66638927926964,12.186931212647679,11.294931522324461,10.13134806814953,12.65,9.881782358290408,34.269205126305664,-248.55814558340626,67.43671980330663,54.01402431352885,94.28211078286225,0.0,85.91065292096218,65.41737649063033,20.33195020746887,9.848484848484857,62.653778558875224,0.6912040794138414,0.006372251750868418,12.265423962538025,12.959814167827304,13.195999999999998,12.968,12.766000000000002,12.068666666666667,11.329,10.475166666666668,1.1400000000000006,0.0,0.0,0.06637955029879959,12.6995,13.983048207119625,11.415951792880378,838.095238095242,44401115,1.1369052739550143,0.709794410944376,2.4021587662865502,1.6027987082884834,1.4011916583912625,83.33333333333334,12.75,-0.19457009465302133,49.80237154150198,51.15507970495997,47.30267656863995,12.6995,12.793,12.777999999999999,13.18,0.6912040794138414,0.6904075479449828,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20150106,3995,3995,600188XSHG20150106,20200210005647,0,950755,15.95,1483127808,600188.XSHG,15.12,1500,15.45,15.6,295998.0,491840.0,6.5517241379,14.5,4.0,14.085922908105465,13.785150117529914,13.207740732822698,12.780446591924289,14.585586187216729,13.14332474411005,12.293083860949528,11.626176979238247,12.555489078179585,11.438524802539852,10.688329284033399,13.493018136216191,12.838718362312513,11.829905189103696,10.568276662642393,14.50850059534863,13.897808680302678,13.223879913181886,12.184802344776807,10.885324962521665,13.663345220862302,13.088227592129705,12.453556811443136,11.475008033430585,10.251228362763124,13.03,12.314626344867687,41.19388799532091,-318.71362599454733,74.36032892547487,60.796125850844184,101.48873507473623,11.792452830188685,88.67403314917125,69.97041420118343,24.496373892022554,21.749408983451534,64.81788079470199,0.7212835028586232,0.2406353875582543,12.501318483831506,13.342919680469256,13.755999999999998,13.214,12.868,12.285666666666666,11.49325,10.584000000000001,-0.15000000000000036,0.34999999999999964,0.3300000000000001,0.06443840064671473,12.766000000000002,14.487541169998558,11.044458830001444,-846.0869565217379,45351870,2.2021061648498805,1.6695057194024474,1.5107513302606843,1.5067218200620485,1.5869797225186772,83.33333333333334,13.36,0.006372251750868418,65.41737649063033,67.43671980330663,54.01402431352885,12.766000000000002,12.968,13.195999999999998,14.5,0.7212835028586232,0.6912040794138414,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
20150107,3996,3996,600188XSHG20150107,20200210005647,0,468833,15.56,708557760,600188.XSHG,14.67,1500,15.29,14.8,295998.0,491840.0,-1.0355987055,15.45,4.0,14.487281938736976,14.161362588147435,13.485375301779671,13.00858781084026,14.937793093608365,13.411659151096295,12.486433289275364,11.785473632314847,12.765836072165769,11.589563045577506,10.809425881821998,13.819742111449614,13.072173756377987,11.998690301830347,10.68486242405863,14.921900396899087,14.2343343747931,13.464338969069328,12.358651010885255,11.005408296780391,14.052663480574868,13.405149848106124,12.680008543686647,11.638729592775436,10.364316551336872,12.62,7.615427927927934,37.921703048890464,-216.96903690541023,77.71820670503357,66.43681946890732,100.28098117728607,15.566037735849068,83.23529411764707,67.21556886227546,20.869565217391294,19.92156862745097,63.34164588528679,0.7639434050527849,0.3412792175532937,12.707887485029174,13.642470498858604,14.207999999999998,13.376,12.968,12.497333333333335,11.65,10.6825,0.4899999999999984,0.2700000000000013,0.13000000000000078,0.06309021537900816,12.868,14.883267724149821,10.85273227585018,964.968152866252,44883037,2.671462128080672,2.4367841464652757,1.6300728075423332,1.6023579849946417,1.4953751284686545,66.66666666666666,15.6,0.2406353875582543,69.97041420118343,74.36032892547487,60.796125850844184,12.868,13.214,13.755999999999998,15.45,0.7639434050527849,0.7212835028586232,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20150108,3997,3997,600188XSHG20150108,20200210005647,0,637915,16.43,998694336,600188.XSHG,14.73,1500,15.45,15.18,295998.0,491840.0,1.0464355788,15.29,4.0,14.808187959157983,14.483521941110578,13.747325261542382,13.230534373491144,15.19389654680418,13.666451757209256,12.677631141580177,11.944800865692462,12.972310220460711,11.740952730064663,10.931546253352995,14.116152636640589,13.298633398627699,12.167046872472765,10.80252014198311,15.252433597932725,14.539637215739805,13.697592400586533,12.532058278646948,11.126595746242602,14.363942320383243,13.692668057541372,12.899674396668868,11.802035466298582,10.478444537723618,13.18,4.575605793962381,37.609776083509935,-198.19341553855662,77.77150574917964,70.2150482289981,92.88442078954272,20.762711864406796,94.92063492063492,64.44805194805194,18.57252494244052,18.937644341801377,60.270270270270274,0.8130637300402479,0.3929625998997046,12.911006930582564,13.920551960572665,14.773999999999996,13.663,13.142499999999998,12.694,11.808,10.785000000000002,0.2699999999999996,0.9800000000000004,0.4499999999999993,0.0637595883499231,12.968,15.196980708754563,10.739019291245437,2540.0000000000327,45520952,2.724333017699122,2.6978975728898966,1.8132327997278317,1.5915343915343925,1.4837728194726174,66.66666666666666,14.8,0.3412792175532937,67.21556886227546,77.71820670503357,66.43681946890732,12.968,13.376,14.207999999999998,15.29,0.8130637300402479,0.7639434050527849,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20150109,3998,3998,600188XSHG20150109,20200210005647,0,397560,15.5,597567104,600188.XSHG,14.66,1500,14.73,14.96,295998.0,491840.0,-4.6601941748,15.45,4.0,14.782125306105325,14.545141455832931,13.878348560003396,13.366849430446493,14.96194827340209,13.7993952875581,12.810042035671778,12.065896480227575,13.107517126579115,11.858170270062127,11.031505562475289,14.227761248160483,13.434954027329823,12.292068976254582,10.89949495329217,15.225589065288483,14.654594085605297,13.838002648149716,12.66083104554222,11.226479801890935,14.338661546922165,13.800928410715668,13.031905406509928,11.923306906966946,10.572510104693404,14.5,-2.346857597454251,29.770588857173053,-118.34637856906623,71.72098799747369,70.7170281518233,73.72890768877448,36.01694915254237,73.4138972809668,68.566493955095,16.71949286846277,7.754206291148503,55.69948186528498,0.8503180380782087,0.2980344643036865,13.04574715794682,14.045082428176867,15.084000000000001,13.931,13.2695,12.858666666666668,11.9405,10.878166666666667,-0.23000000000000045,0.5399999999999991,0.07000000000000027,0.060831530613573374,13.142499999999998,15.428636260155985,10.856363739844012,474.46808510638334,45123392,2.146927462635224,2.4356302401671734,1.2038081815727175,1.6013001083423624,1.3539215686274515,66.66666666666666,15.18,0.3929625998997046,64.44805194805194,77.77150574917964,70.2150482289981,13.142499999999998,13.663,14.773999999999996,15.45,0.8503180380782087,0.8130637300402479,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20150112,3999,3999,600188XSHG20150112,20200210005646,0,321582,15.18,474162528,600188.XSHG,14.17,1500,14.89,14.5,295998.0,491840.0,1.0862186015000002,14.73,4.0,14.818083537403547,14.6313560918747,14.01323541866961,13.505317664042268,14.925974136701045,13.935720876613338,12.944232872080047,12.188683589782894,13.244631193765334,11.977065553589105,11.133044889778569,14.348168293949485,13.573529834250795,12.418797318876306,10.998025942099767,15.262626043525653,14.77861334276797,13.98073572927832,12.791361238442596,11.327966720362765,14.373541031281441,13.917723245131002,13.166323939223274,12.046233399310019,10.668085163836775,15.45,-1.7939585806621832,29.74904147786685,-82.27343566828017,68.249502886088,69.89451972991152,64.95946919844093,32.627118644067785,59.06976744186049,76.19926199261994,12.97420333839151,18.36248012718601,56.88468158347677,0.8787966839302677,0.22782916681647114,13.182358479580385,14.175069746918894,15.162,14.178999999999998,13.4155,13.015,12.082,10.9775,0.39000000000000057,0.28999999999999915,0.3300000000000001,0.06423023905782396,13.2695,15.577880167996595,10.9611198320034,166.1616161616161,44801810,1.5871543287846068,1.8670408957099156,1.5649602273975518,1.5369978858350957,1.2878932316491902,66.66666666666666,14.96,0.2980344643036865,68.566493955095,71.72098799747369,70.7170281518233,13.2695,13.931,15.084000000000001,14.73,0.8787966839302677,0.8503180380782087,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20150113,4000,4000,600188XSHG20150113,20200210005647,0,198798,15.07,294828512,600188.XSHG,14.58,1500,14.74,14.67,295998.0,491840.0,-1.0073875084000001,14.89,4.0,14.792055691602366,14.658517068906026,14.110137362846995,13.617561512765699,14.832987068350524,14.03625576703667,13.060088815816819,12.299610390227118,13.359659563475695,12.085415924036589,11.227964761100186,14.419410422322304,13.684622230988815,12.53202671795551,11.09042036328249,15.235817362350435,14.851992734991974,14.095160897918479,12.907987519494178,11.423132974180966,14.348294020854294,13.986828109652633,13.27408356405915,12.156065916416845,10.757707752384016,15.29,-1.8641810918774928,27.163241713684286,-78.64359348957795,64.67889807146236,68.15597917709513,57.7247358601968,35.80508474576271,23.70370370370373,72.3608445297505,1.655172413793105,22.323651452282157,63.314176245210724,0.8958858992646034,0.13671372267468596,13.297739332944806,14.261982093546752,15.02,14.388,13.547,13.153666666666668,12.214249999999998,11.078333333333335,0.07000000000000027,0.3300000000000001,0.08999999999999986,0.06376006030730777,13.4155,15.711026954753525,11.119973045246473,59.676113360323846,44603012,1.0630500586506202,1.3251021937176135,1.9119042603477328,1.4591194968553465,1.1562500000000002,50.0,14.5,0.22782916681647114,76.19926199261994,68.249502886088,69.89451972991152,13.4155,14.178999999999998,15.162,14.89,0.8958858992646034,0.8787966839302677,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20150114,4001,4001,600188XSHG20150114,20200210005647,0,334627,14.89,472394368,600188.XSHG,13.5,1500,13.86,14.7,295998.0,491840.0,-5.9701492537,14.74,1.0,14.481370461068243,14.45888780167952,14.076785714467395,13.639601375241547,14.34649353417526,14.014223796157086,13.111695988989931,12.367453416738984,13.398147289362178,12.155007456427311,11.297228846334393,14.317699436445524,13.701324875656546,12.596805902445489,11.158805045670576,14.915811574900289,14.74723041953889,14.112364621926243,12.974710079518852,11.493569197040696,14.046929347236194,13.888168453352158,13.290285129386847,12.218901725372124,10.824040894300456,15.45,-5.931858286955345,18.575046198069934,-13.832837250675635,54.25916175403189,63.52370670274072,35.73007185661426,54.44915254237289,15.458937198067643,60.34188034188034,-10.29126213592233,11.684125705076545,57.529305680793506,0.8888588040705561,-0.05621676155237987,13.339388271245193,14.200138694539561,14.734000000000002,14.470999999999998,13.636500000000002,13.228333333333332,12.32825,11.163333333333332,-0.8399999999999999,0.19000000000000128,0.35999999999999943,0.0661143232525147,13.547,15.742607205307909,11.351392794692092,53.06553911205068,44937639,0.27843491463962783,0.670742486645124,1.4876334988473228,1.2875243664717355,1.028522039757995,33.33333333333333,14.67,0.13671372267468596,72.3608445297505,64.67889807146236,68.15597917709513,13.547,14.388,15.02,14.74,0.8888588040705561,0.8958858992646034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
20150115,4002,4002,600188XSHG20150115,20200210005647,0,243010,14.41,336902176,600188.XSHG,13.4,1500,14.39,13.88,295998.0,491840.0,3.8239538239999997,13.86,2.0,14.450913640712164,14.441665851259641,14.11854761920508,13.707819432037768,14.368246767087632,14.061195821637455,13.194167215506706,12.455390224706855,13.474443651718936,12.242654222841926,11.378617560904539,14.330844993455427,13.766912982736873,12.684278785253026,11.2385876371355,14.884441049933528,14.760770343259091,14.17992037221898,13.064807148810615,11.575745266249564,14.017386231490798,13.900919643651767,13.353905593254767,12.303750421695433,10.901430008021435,14.73,-0.9089657072028624,22.01119213159233,-1.5264668597740998,47.35627070247079,58.13456136931741,25.799689368777532,46.04966139954851,28.2786885245902,61.33333333333334,-5.886200130804439,13.754940711462453,60.614035087719294,0.8735143960334026,-0.12275526429722737,13.417211362264068,14.229348126148855,14.522,14.648,13.696000000000002,13.312333333333333,12.464,11.257666666666665,0.5099999999999998,0.01999999999999957,0.4800000000000004,0.06837872812074837,13.636500000000002,15.846019404757516,11.426980595242489,28.02160702228223,44694629,-0.06733129845262706,0.10555180809350037,1.5112262466808657,1.2593659942363118,1.0722466960352428,50.0,14.7,-0.05621676155237987,60.34188034188034,54.25916175403189,63.52370670274072,13.636500000000002,14.470999999999998,14.734000000000002,13.86,0.8735143960334026,0.8888588040705561,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20150116,4003,4003,600188XSHG20150116,20200210005647,0,246118,14.68,356337984,600188.XSHG,14.2,1500,14.47,14.3,295998.0,491840.0,0.5559416261,14.39,2.0,14.457275760474776,14.448749388444726,14.165407936644401,13.77710857457979,14.419123383543816,14.112296343932767,13.27647900805466,12.542981954067429,13.551024909279018,12.330001116063812,11.459969730354418,14.35614590373626,13.83387365104765,12.771387137191901,11.318375596712404,14.89099403328902,14.786830280848351,14.248889860579073,13.154528751307659,11.657926864613776,14.023557487660534,13.925461526624172,13.418857441516217,12.388245523076145,10.978824328811031,14.89,-1.2276135724949896e-14,21.54556908861824,-18.34141921356136,43.34202425269231,53.20371566377571,23.61864143052549,46.555819477434675,42.77777777777779,66.31393298059966,-6.343042071197402,11.051419800460486,60.405643738977076,0.8530466739380543,-0.16374177676278667,13.495195705800064,14.266371491356725,14.470000000000002,14.777,13.785000000000002,13.392,12.6045,11.357166666666668,0.16999999999999993,0.20999999999999908,0.10000000000000142,0.06623311367906433,13.696000000000002,15.87950635446751,11.51249364553249,56.708407871198595,44940747,-0.15947394657761216,-0.1134026225151196,1.4463802867605196,1.3537486800422391,1.1831537708129287,50.0,13.88,-0.12275526429722737,61.33333333333334,47.35627070247079,58.13456136931741,13.696000000000002,14.648,14.522,14.39,0.8530466739380543,0.8735143960334026,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
